,Data,Fechamento
0,19/11/2024,9.38
1,18/11/2024,9.23
2,14/11/2024,9.0
3,13/11/2024,9.26
4,12/11/2024,9.23
5,11/11/2024,9.4
6,08/11/2024,9.6
7,07/11/2024,9.38
8,06/11/2024,9.73
9,05/11/2024,9.98
10,04/11/2024,9.78
11,01/11/2024,8.86
12,31/10/2024,9.46
13,30/10/2024,9.6
14,29/10/2024,9.23
15,28/10/2024,9.47
16,25/10/2024,9.13
17,24/10/2024,9.48
18,23/10/2024,9.15
19,22/10/2024,9.3
20,21/10/2024,9.67
21,18/10/2024,9.4
22,17/10/2024,9.57
23,16/10/2024,9.8
24,15/10/2024,9.7
25,14/10/2024,9.8
26,11/10/2024,9.45
27,10/10/2024,9.21
28,09/10/2024,9.24
29,08/10/2024,9.57
30,07/10/2024,9.51
31,04/10/2024,9.67
32,03/10/2024,9.73
33,02/10/2024,9.85
34,01/10/2024,9.72
35,30/09/2024,9.7
36,27/09/2024,10.0
37,26/09/2024,9.8
38,25/09/2024,10.0
39,24/09/2024,10.19
40,23/09/2024,10.02
41,20/09/2024,10.35
42,19/09/2024,11.16
43,18/09/2024,11.52
44,17/09/2024,11.88
45,16/09/2024,11.69
46,13/09/2024,11.6
47,12/09/2024,11.17
48,11/09/2024,11.27
49,10/09/2024,11.33
50,09/09/2024,11.52
51,06/09/2024,11.8
52,05/09/2024,12.3
53,04/09/2024,12.04
54,03/09/2024,11.68
55,02/09/2024,11.97
56,30/08/2024,12.16
57,29/08/2024,12.89
58,28/08/2024,13.18
59,27/08/2024,13.47
60,26/08/2024,13.35
61,23/08/2024,13.62
62,22/08/2024,13.18
63,21/08/2024,13.85
64,20/08/2024,13.8
65,19/08/2024,13.92
66,16/08/2024,12.58
67,15/08/2024,13.29
68,14/08/2024,12.74
69,13/08/2024,13.29
70,12/08/2024,12.95
71,09/08/2024,12.96
72,08/08/2024,12.54
73,07/08/2024,12.19
74,06/08/2024,11.3
75,05/08/2024,11.54
76,02/08/2024,11.57
77,01/08/2024,10.8
78,31/07/2024,11.07
79,30/07/2024,11.08
80,29/07/2024,11.2
81,26/07/2024,11.89
82,25/07/2024,11.6
83,24/07/2024,11.67
84,23/07/2024,12.18
85,22/07/2024,12.33
86,19/07/2024,12.57
87,18/07/2024,12.67
88,17/07/2024,13.46
89,16/07/2024,13.63
90,15/07/2024,14.33
91,12/07/2024,13.87
92,11/07/2024,13.71
93,10/07/2024,13.47
94,09/07/2024,13.51
95,08/07/2024,12.89
96,05/07/2024,13.69
97,04/07/2024,13.18
98,03/07/2024,12.58
99,02/07/2024,12.17
