"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"19/11/2024","9,10","9,38","1,63","9,10","9,41","462,12M"
"18/11/2024","9,10","9,23","2,56","9,00","9,46","266,53M"
"14/11/2024","9,30","9,00","-2,81","8,98","9,55","615,56M"
"13/11/2024","9,44","9,26","0,33","9,03","9,54","591,09M"
"12/11/2024","9,50","9,23","-1,81","9,23","9,59","561,89M"
"11/11/2024","9,50","9,40","-2,08","9,22","9,57","294,05M"
"08/11/2024","9,81","9,60","2,35","9,07","9,92","949,76M"
"07/11/2024","9,74","9,38","-3,60","9,36","10,10","643,99M"
"06/11/2024","9,65","9,73","-2,51","9,54","9,92","641,07M"
"05/11/2024","9,14","9,98","2,05","9,41","10,02","791,57M"
"04/11/2024","9,14","9,78","10,38","9,14","9,88","421,59M"
"01/11/2024","9,59","8,86","-6,34","8,78","9,59","258,58M"
"31/10/2024","9,52","9,46","-1,46","9,40","9,67","128,74M"
"30/10/2024","9,25","9,60","4,01","9,17","9,68","239,75M"
"29/10/2024","9,45","9,23","-2,53","9,15","9,52","164,52M"
"28/10/2024","9,28","9,47","3,72","9,27","9,60","203,44M"
"25/10/2024","9,46","9,13","-3,69","9,13","9,52","188,69M"
"24/10/2024","9,18","9,48","3,61","9,08","9,51","231,12M"
"23/10/2024","9,16","9,15","-1,61","9,06","9,32","191,10M"
"22/10/2024","9,57","9,30","-3,83","9,15","9,81","293,22M"
"21/10/2024","9,45","9,67","2,87","9,45","9,79","221,57M"
"18/10/2024","9,64","9,40","-1,78","9,36","9,72","229,30M"
"17/10/2024","9,70","9,57","-2,35","9,57","9,73","143,39M"
"16/10/2024","9,65","9,80","1,03","9,58","9,97","208,46M"
"15/10/2024","9,90","9,70","-1,02","9,61","9,97","158,68M"
"14/10/2024","9,41","9,80","3,70","9,30","10,06","237,81M"
"11/10/2024","9,22","9,45","2,61","8,93","9,47","260,54M"
"10/10/2024","9,30","9,21","-0,32","9,07","9,32","159,83M"
"09/10/2024","9,47","9,24","-3,45","9,24","9,52","156,52M"
"08/10/2024","9,81","9,57","0,63","9,33","9,63","401,99M"
"07/10/2024","9,81","9,51","-1,65","9,38","9,93","230,69M"
"04/10/2024","9,66","9,67","-0,62","9,51","9,77","170,72M"
"03/10/2024","9,65","9,73","-1,22","9,43","9,91","236,34M"
"02/10/2024","9,83","9,85","1,34","9,74","10,12","246,72M"
"01/10/2024","9,78","9,72","0,21","9,60","9,93","210,20M"
"30/09/2024","10,00","9,70","-3,00","9,47","10,06","242,68M"
"27/09/2024","9,80","10,00","2,04","9,90","10,38","444,57M"
"26/09/2024","10,08","9,80","-2,00","9,77","10,33","218,16M"
"25/09/2024","10,27","10,00","-1,86","9,84","10,33","203,54M"
"24/09/2024","10,29","10,19","1,70","10,02","10,33","155,97M"
"23/09/2024","10,22","10,02","-3,19","9,93","10,38","215,88M"
"20/09/2024","11,14","10,35","-7,26","10,35","11,15","357,39M"
"19/09/2024","11,69","11,16","-3,13","11,14","11,78","227,69M"
"18/09/2024","11,74","11,52","-3,03","11,52","12,21","253,07M"
"17/09/2024","11,60","11,88","1,63","11,49","11,90","153,73M"
"16/09/2024","11,56","11,69","0,78","11,44","11,82","127,24M"
"13/09/2024","11,26","11,60","3,85","11,24","11,94","206,60M"
"12/09/2024","11,31","11,17","-0,89","11,07","11,31","139,13M"
"11/09/2024","11,44","11,27","-0,53","11,16","11,52","171,58M"
"10/09/2024","11,40","11,33","-1,65","11,23","11,51","139,21M"
"09/09/2024","11,82","11,52","-2,37","11,52","11,89","140,65M"
"06/09/2024","12,04","11,80","-4,07","11,76","12,51","503,18M"
"05/09/2024","12,04","12,30","2,16","11,62","12,36","298,26M"
"04/09/2024","11,79","12,04","3,08","11,75","12,35","219,62M"
"03/09/2024","12,00","11,68","-2,42","11,60","12,28","385,50M"
"02/09/2024","12,00","11,97","-1,56","11,83","12,20","153,67M"
"30/08/2024","13,20","12,16","-5,66","12,13","12,78","539,15M"
"29/08/2024","13,20","12,89","-2,20","12,66","13,25","260,53M"
"28/08/2024","13,33","13,18","-2,15","13,14","13,47","199,03M"
"27/08/2024","13,33","13,47","0,90","13,31","13,73","400,38M"
"26/08/2024","13,75","13,35","-1,98","13,07","13,78","215,59M"
"23/08/2024","13,35","13,62","3,34","13,13","13,77","228,06M"
"22/08/2024","13,70","13,18","-4,84","13,12","13,84","214,45M"
"21/08/2024","13,83","13,85","0,36","13,42","14,08","271,86M"
"20/08/2024","13,92","13,80","-0,86","13,58","13,93","222,56M"
"19/08/2024","12,73","13,92","10,65","12,72","14,00","439,49M"
"16/08/2024","13,31","12,58","-5,34","12,58","13,36","238,17M"
"15/08/2024","12,82","13,29","4,32","12,56","13,41","256,45M"
"14/08/2024","13,10","12,74","-4,14","12,64","13,45","329,67M"
"13/08/2024","13,20","13,29","2,63","13,00","13,40","317,71M"
"12/08/2024","13,05","12,95","-0,08","12,95","13,84","526,14M"
"09/08/2024","12,90","12,96","3,35","12,21","13,25","526,95M"
"08/08/2024","12,21","12,54","2,87","12,21","12,70","259,23M"
"07/08/2024","11,51","12,19","7,88","11,47","12,25","283,74M"
"06/08/2024","11,52","11,30","-2,08","10,93","11,68","271,18M"
"05/08/2024","11,00","11,54","-0,26","10,62","11,65","351,87M"
"02/08/2024","10,88","11,57","7,13","10,88","11,59","293,36M"
"01/08/2024","11,30","10,80","-2,44","10,73","11,50","218,70M"
"31/07/2024","11,22","11,07","-0,09","11,07","11,46","161,85M"
"30/07/2024","11,12","11,08","-1,07","11,04","11,41","174,82M"
"29/07/2024","11,95","11,20","-5,80","11,07","11,98","302,01M"
"26/07/2024","11,65","11,89","2,50","11,45","11,98","375,75M"
"25/07/2024","11,67","11,60","-0,60","11,54","11,93","375,39M"
"24/07/2024","12,16","11,67","-4,19","11,60","12,23","206,34M"
"23/07/2024","12,24","12,18","-1,22","12,15","12,47","228,11M"
"22/07/2024","12,66","12,33","-1,91","12,33","12,83","258,85M"
"19/07/2024","12,66","12,57","-0,79","12,51","12,99","550,34M"
"18/07/2024","13,50","12,67","-5,87","12,57","13,57","339,20M"
"17/07/2024","13,60","13,46","-1,25","13,36","13,87","251,18M"
"16/07/2024","14,29","13,63","-4,88","13,54","14,42","373,90M"
"15/07/2024","13,85","14,33","3,32","13,65","14,33","265,48M"
"12/07/2024","13,71","13,87","1,17","13,54","13,94","194,66M"
"11/07/2024","13,97","13,71","1,78","13,63","14,04","183,90M"
"10/07/2024","13,90","13,47","-0,30","13,42","14,14","305,62M"
"09/07/2024","12,90","13,51","4,81","12,83","13,55","546,97M"
"08/07/2024","13,48","12,89","-5,84","12,77","13,59","315,92M"
"05/07/2024","13,11","13,69","3,87","13,06","13,73","365,79M"
"04/07/2024","12,85","13,18","4,77","12,83","13,46","305,82M"
"03/07/2024","12,10","12,58","3,37","12,26","12,73","397,13M"
"02/07/2024","12,02","12,17","0,25","11,95","12,33","378,39M"
